year,value
1874,137.6875
1875,135.54794520547946
1876,148.275956284153
1877,150.18082191780823
1878,146.66027397260274
1879,153.586301369863
1880,127.30054644808743
1881,49.00669116954104
1882,58.33541290428501
1883,50.54050116550116
1884,43.55310794622654
1885,34.45946637660759
1886,38.4098083755606
1887,43.23233961630964
1888,36.46713745271122
1889,37.382123242807474
1890,39.32230416583616
1891,31.735658516059658
1892,30.686890725095164
1893,31.75961451041004
1894,37.49282213644447
1895,31.577203723894993
1896,32.644213294149495
1897,33.124794130857914
1898,30.475828394647582
1899,33.63089728411007
1900,29.30873831160279
1901,30.195252939905554
1902,18.6707046831142
1903,30.377321402376413
1904,26.46094287166303
1905,33.48778660272741
1906,38.22782030559029
1907,20.77375524623328
1908,21.897905375714075
1909,29.552494199535964
1910,30.443070159175782
1911,25.74523286130566
1912,17.65854410065477
1913,25.968210002032933
1914,29.15030167493652
1915,21.12093172396418
1916,19.46579662109285
1917,20.63274243027422
1918,13.97521340858172
1919,11.461355069428784
1920,28.944625645911973
1921,36.16640735246228
1922,31.64996552516663
1923,34.523742525501234
1924,32.282125815828444
1925,39.054910899295486
1926,27.436629569439017
1927,23.59258758284864
1928,18.351872348275226
1929,15.064639900130345
1930,26.51013707478111
1931,24.95298954176414
1932,34.989099197304526
1933,20.827777944756694
1934,28.44191815385488
1935,32.72012362637363
1936,24.668548303413925
1937,21.722137452122194
1938,24.334531770892724
1939,22.337361108464044
1940,14.888490176729166
1941,11.104992587633303
1942,20.77157114595329
1943,45.58846446218168
1944,57.51316753112553
1945,45.19640433690465
1946,23.160105561699936
1947,21.789810407636875
1948,23.77806683814684
1949,28.94160035220042
1950,24.163248377105198
1951,41.805543057075894
1952,39.948245953362424
1953,56.78076896380499
1954,58.65580811517929
1955,59.73241131077627
1956,52.89685043238994
1957,73.86709845225649
1958,79.8711102650136
1959,65.80151662566283
1960,68.91308928406039
1961,85.1596084962273
1962,82.92682535027636
1963,75.10830581006833
1964,70.82512887608497
1965,69.66012919746261
1966,64.3490414908955
1967,67.32177552638298
1968,54.45499256143594
1969,26.022113155336175
1970,34.65437421926008
1971,28.80302636965443
1972,33.469802097702434
1973,96.99498980078415
1974,93.1997894372339
1975,102.59155397812891
1976,95.66930297782724
1977,102.99241780514899
1978,100.48818285487071
1979,102.95836928687717
1980,98.68118014429993
1981,104.7109017906839
1982,104.63592845860036
1983,107.70725813411582
1984,97.61260937524729
1985,94.61468100815972
1986,96.6070229766744
1987,94.27859981723381
1988,97.47358133132208
1989,98.14867717748196
1990,97.80160277529447
1991,95.04622719936047
1992,97.2057610318812
1993,96.86496364804707
1994,102.89504832258383
1995,105.54743979356465
1996,100.90141548786347
1997,103.27449489306325
1998,111.24455819156819
1999,109.0989832309796
2000,107.53841525470885
2001,110.27604279425562
2002,110.80235360150944
2003,112.29735306529703
2004,109.46844743745294
2005,108.80271205361561
2006,106.71328313397154
2007,108.34860948572285
2008,104.37154142330141
2009,105.39311612321829
2010,105.85923905781723
2011,104.17557140895848
2012,106.47084455755348
2013,107.95028594235791
2014,111.11422788313949
2015,113.24276163613388
2016,107.7618940615739
2017,107.16334494090368
2018,104.40757938943378
2019,102.63738237201758
2020,106.6767648157101
2021,16.64489169818307
