year,value
1888,-4.567164179104478
1889,0.28493150684931506
1890,-70.66528925619835
1891,-32.797260273972604
1892,-149.0655737704918
1893,-18.55068493150685
1894,-12.35068493150685
1895,0.9075975359342916
1896,-12.431034482758621
1897,29.083561643835615
1898,22.30958904109589
1899,-15.64271047227926
1900,18.389954337899542
1901,15.914141414141413
1902,-7.490528414755733
1903,11.36510962821735
1904,21.062372188139058
1905,20.217105263157894
1906,22.46301369863014
1907,-12.345062429057888
1908,-11.748221906116642
1909,8.104633781763827
1910,23.202544031311156
1911,12.90958904109589
1912,13.344262295081966
1913,16.942465753424656
1914,19.913533834586467
1915,24.507762557077626
1916,22.704918032786885
1917,37.751306165099265
1918,-13.370149253731343
1919,0.44610778443113774
1920,2.748633879781421
1921,3.9232876712328766
1922,37.91596638655462
1923,38.93493635077793
1924,50.39080459770115
1925,29.293040293040292
1926,25.008563273073264
1927,16.08675799086758
1928,12.236794171220401
1929,9.98538812785388
1930,21.014625228519197
1931,20.326027397260273
1932,19.7007722007722
1933,17.294358974358975
1934,19.460526315789473
1935,23.920035149384887
1936,-0.5644808743169399
1937,1.908239700374532
1938,-3.678356164383562
1939,-2.1884931506849314
1940,-8.336612021857924
1941,-17.47013698630137
1942,-4.2942465753424655
1943,4.343783209351754
1944,35.43419434194342
1945,35.562843676355065
1946,7.24772400574988
1947,-5.818082191780822
1948,-1.002071465561885
1949,-2.086550182852499
1950,-7.841459137144861
1951,2.195921631347461
1952,-1.5525645689341578
1953,-4.186084808563194
1954,-3.0055493895671477
1955,5.096795079313694
1956,-8.344237918215613
1957,46.1562874251497
1958,47.21291624621594
1959,36.45671476137625
1960,38.46148184494603
1961,74.52644075113318
1962,74.45728980322004
1963,67.84651859246318
1964,70.3989218328841
1965,67.78434996919285
1966,68.64808775570708
1967,78.33516651390163
1968,24.863987635239567
1969,-0.28467650397275823
1970,13.654694248692884
1971,-10.817816476892164
1972,-13.334474885844749
1973,93.3177043016698
1974,89.99659153380979
1975,98.86838790931989
1976,93.82049245432883
1977,101.3360454115421
1978,96.53290074940595
1979,99.58001416179854
1980,97.67654615525784
1981,105.79938271604938
1982,105.75829895894717
1983,108.27230440040934
1984,99.89144886622347
1985,93.5392121431153
1986,90.80560315284441
1987,90.00931497815515
1988,90.3679433933241
1989,84.49020031704856
1990,87.48382731086751
1991,84.55612619222303
1992,90.04165609941668
1993,93.83837865572089
1994,95.6345234195873
1995,99.55094443678477
1996,95.73459554831705
1997,94.99603201751385
1998,100.6781819327996
1999,101.82239980177167
2000,99.32650739476678
2001,105.09161749972169
2002,94.85128852666016
2003,101.19416998744472
2004,96.83650785367635
2005,103.33484966159992
2006,90.99219651590921
2007,91.35660190977939
2008,86.33307564881281
2009,85.87440704766207
2010,92.05578907145586
2011,95.23910216543224
2012,100.22999302238205
2013,94.934324991945
2014,105.59401223539602
2015,101.32429806664723
2016,100.76541323739589
2017,102.54842918799558
2018,100.13429990468067
2019,97.54989574024427
2020,95.78937496218309
2021,13.11779851947216
