year,value
1763,101.24649859943978
1764,106.35342465753425
1765,105.79558011049724
1766,102.43250688705234
1767,94.3718309859155
1768,98.79889807162535
1769,108.32773109243698
1770,107.31491712707182
1771,109.64444444444445
1772,121.94765840220386
1773,106.0358126721763
1774,103.67226890756302
1775,92.88170563961485
1776,78.75616438356164
1777,78.99585062240664
1778,88.29737206085754
1779,90.66758620689656
1780,82.134163208852
1781,91.1975138121547
1782,79.85103448275862
1783,90.14147018030513
1784,76.5980528511822
1785,75.4493758668516
1786,72.26907073509015
1787,91.52420470262794
1788,90.66851595006935
1789,85.44291609353508
1790,89.4151724137931
1791,95.81692094313453
1792,90.45517241379311
1793,92.91298342541437
1794,100.28374655647383
1795,84.16411682892907
1796,87.5728021978022
1797,93.87586206896552
1798,89.1900826446281
1799,70.75724137931034
1800,91.26206896551724
1801,94.68188105117565
1802,91.86980609418282
1803,85.36527777777778
1804,87.96428571428571
1805,72.15214384508991
1806,93.8439226519337
1807,91.82896551724139
1808,76.3848275862069
1809,84.87757909215956
1810,84.87465564738292
1811,96.44368131868131
1812,72.30344827586207
1813,82.72199170124482
1814,84.42177493138152
1815,78.45486111111111
1816,71.01793103448276
1817,81.69757785467128
1818,88.42451523545706
1819,89.32826537664133
1820,82.18175535590878
1821,85.44667590027701
1822,94.24223602484471
1823,79.91481994459834
1824,77.494771601541
1825,80.94456762749445
1826,80.36993899057127
1827,73.96261160714286
1828,84.065
1829,62.913333333333334
1830,73.22512506948304
1831,79.76829268292683
1832,69.11068281938326
1833,69.51860358291226
1834,78.54749885268471
1835,66.01610676484124
1836,67.52112029384757
1837,63.046522339935514
1838,55.11685912240185
1839,69.34038638454462
1840,56.72730939895119
1841,63.054681353265146
1842,56.9752358490566
1843,60.364254298280684
1844,56.67432293452177
1845,54.71374309392265
1846,70.16953824948311
1847,57.65564738292011
1848,61.17913520933425
1849,59.544046799724704
1850,56.893397524071524
1851,64.54031746031745
1852,68.95912047073398
1853,60.917522658610274
1854,53.31073446327684
1855,50.47712765957447
1856,58.59617867286342
1857,75.66609033931273
1858,75.84528176058686
1859,75.296349837369
1860,71.30803491893818
1861,60.035664335664336
1862,62.42914979757085
1863,67.10011939280231
1864,54.44588402591247
1865,63.21832509270705
1866,54.001881363435146
1867,43.61635282457879
1868,45.629112564678316
1869,52.78654464506555
1870,52.840620155038756
1871,45.29936717034741
1872,44.48610650887574
1873,40.13096454383774
1874,42.17929072511557
1875,31.32266769468003
1876,38.117938090920866
1877,43.27606971618152
1878,48.94008623332039
1879,32.77768959598383
1880,37.37004571121269
1881,36.05481675227681
1882,33.12151317796554
1883,25.831012284886256
1884,29.510853297893995
1885,27.155746578205555
1886,30.181022466981823
1887,26.546361600118473
1888,23.9161230606488
1889,36.95054446089781
1890,29.344738401075006
1891,28.52750218801569
1892,37.07970328918233
1893,36.879476109554645
1894,45.964421491544826
1895,36.14814387268169
1896,44.87585766989622
1897,44.90770109997031
1898,45.83394602019649
1899,41.299043320281754
1900,49.682571709465755
1901,43.83416683541481
1902,45.78824329870186
1903,43.26994334806699
1904,38.766868165032484
1905,45.42297420359995
1906,49.079164261282116
1907,44.442821566903945
1908,47.930206133029365
1909,44.00220422275382
1910,45.26226349606779
1911,47.03283009470552
1912,37.578986929170306
1913,44.31968960359013
1914,43.56001505712296
1915,43.38430246189056
1916,35.4169267583695
1917,29.145481433572463
1918,39.597092147920215
1919,40.30129469261768
1920,39.1509281792134
1921,50.69880865020677
1922,42.09315766707519
1923,41.432612509791554
1924,33.87092843718779
1925,43.26569459951712
1926,41.81888781880082
1927,43.432611465645536
1928,43.00545184760346
1929,36.66318192039285
1930,42.851399306675724
1931,50.515708472186816
1932,41.57350283082115
1933,43.49277506021539
1934,47.722435720019234
1935,41.47427936894751
1936,37.26063673684363
1937,38.176968235596014
1938,44.87602926757267
1939,41.38057331054852
1940,37.289944655720255
1941,44.008266992521285
1942,39.89077762603857
1943,38.87167474297796
1944,42.287969920689534
1945,43.69819430876652
1946,46.08000097165416
1947,43.77593974140014
1948,42.86330113397732
1949,46.511252923152085
1950,41.92683593033723
1951,44.93691673572756
1952,48.28907797834426
1953,54.50066640719131
1954,51.960697045773074
1955,48.231002968502494
1956,47.812169769962146
1957,55.60498778533516
1958,54.645636144319184
1959,52.4298151732237
1960,49.30156873909436
1961,55.60514891996414
1962,53.40855196736489
1963,52.59869567585833
1964,52.30718613375517
1965,53.89420918821792
1966,52.303680521353506
1967,54.986449619065475
1968,52.515133348069064
1969,51.73933209535322
1970,51.216509988190545
1971,52.26793059136326
1972,53.811019796900254
1973,59.401117178207805
1974,56.310048284659864
1975,56.92698490478205
1976,52.10250829620649
1977,59.734873038862695
1978,56.52063993180974
1979,57.45668105740389
1980,60.0723438938389
1981,64.0968928500132
1982,59.95596189049758
1983,63.773203521806636
1984,59.11934445235676
1985,54.22027221348144
1986,59.618304306275455
1987,59.23970598737841
1988,57.72117555762327
1989,54.39988464367165
1990,58.97175751020729
1991,58.62939761584296
1992,57.40489596055914
1993,54.704731710648026
1994,57.885933486529645
1995,58.444262974873
1996,52.55862674752248
1997,57.4281118850428
1998,65.2742639688493
1999,59.2385214896649
2000,58.98320894772519
2001,60.98149298387421
2002,59.63892109188603
2003,60.00575798382336
2004,59.743613701393954
2005,61.35184032520529
2006,62.38091398294617
2007,61.329057219951686
2008,56.52185117184021
2009,57.93254934014873
2010,58.53402183097978
2011,58.42485600354453
2012,58.522098048462574
2013,47.5305854437941
2014,47.90137979855533
2015,55.20900511256339
2016,57.1864449869408
2017,55.31487794692522
2018,51.756798111715135
2019,50.45502943014406
2020,56.703771189368254
2021,-27.881938334108803
