year,value
1877,36.68478260869565
1878,26.97416576964478
1879,-22.75740318906606
1880,-13.844011142061282
1881,-7.382191780821918
1882,2.7482168330955776
1883,-18.357366771159874
1884,-12.552973342447027
1885,-10.877942998760842
1886,-11.875834445927904
1887,-5.180468303826385
1888,-21.979425837320573
1889,-7.621993127147766
1890,-21.552919708029197
1891,-7.421609195402299
1892,5.833824975417896
1893,18.479693056335392
1894,30.743832105094523
1895,23.28719354347495
1896,35.13186350231709
1897,28.745524648857064
1898,34.03006535947713
1899,26.229148503342053
1900,35.97303893085415
1901,29.66396385960848
1902,25.086548488008344
1903,34.15588300465323
1904,24.013885620145917
1905,43.469265855777586
1906,53.910000991178514
1907,53.70410215161874
1908,51.130780346820806
1909,50.597582953461256
1910,50.3301817417796
1911,53.35558766859345
1912,43.91559839056798
1913,46.80301399354144
1914,47.00555958423979
1915,48.10652537646403
1916,44.239299760931594
1917,41.01760821716801
1918,54.33099123602297
1919,53.273343538158755
1920,55.99245605294997
1921,64.65134927829301
1922,54.79068617058865
1923,49.7375733035465
1924,46.53662430975983
1925,45.91225165562914
1926,44.34887314874437
1927,41.67956330204942
1928,40.3714744183176
1929,35.1875384048175
1930,42.662468362058576
1931,51.261657564664226
1932,44.33315227231577
1933,46.95621579358874
1934,54.08128244274809
1935,47.936303364520725
1936,41.42832623106061
1937,36.62197540658469
1938,40.34461314359348
1939,39.60723585794227
1940,37.25773307376163
1941,45.51146529562982
1942,41.812439678284186
1943,48.0363895434866
1944,45.8758109360519
1945,51.467416906568964
1946,51.58288138323579
1947,48.63157894736842
1948,45.55325319238505
1949,40.67649918962723
1950,41.16669187717441
1951,44.963793752352274
1952,45.37462878093492
1953,49.046341200560406
1954,49.45292449485998
1955,39.93552027961844
1956,37.386450346334776
1957,46.46127562642369
1958,45.52266293669031
1959,42.7925582340195
1960,42.61916088536505
1961,52.64261779794206
1962,51.59701201326755
1963,47.55185813584369
1964,46.95420207743154
1965,50.28638419949244
1966,49.2063266839162
1967,57.16450476763165
1968,55.358914189698126
1969,50.99138381919784
1970,49.295803480040945
1971,46.02651942608415
1972,51.00616324561874
1973,52.911879188017345
1974,50.43959564850231
1975,53.13454627133872
1976,46.9747220879652
1977,55.74032057381249
1978,53.17544427298522
1979,55.003362923765486
1980,52.620588963127936
1981,58.01344324363183
1982,54.68226618967657
1983,59.8475921507523
1984,52.48645033440674
1985,50.96633199787614
1986,53.90554865819883
1987,52.05006340111774
1988,51.20563551971494
1989,47.659800744208376
1990,51.897652044439354
1991,51.21144685223239
1992,50.75596287157796
1993,51.84131250868981
1994,56.69266999597642
1995,53.10138397167686
1996,48.80315734311542
1997,54.935566455832365
1998,60.66365963420173
1999,57.88970724763261
2000,58.14245101648464
2001,58.73119986971214
2002,56.72194687759189
2003,57.063714263149585
2004,56.28563136101544
2005,58.02516660133281
2006,57.15231709487925
2007,54.896767790772344
2008,50.75404217415719
2009,50.950820931349014
2010,50.96110241999343
2011,51.42172172957702
2012,51.167081925675674
2013,38.661857465637354
2014,43.41445366696687
2015,49.13710455366198
2016,54.77428012441055
2017,53.35921290750134
2018,49.844264633418916
2019,47.61503190861801
2020,50.28824786324786
2021,-25.63340724316334
