year,value
2006,124.62570462232243
2007,123.24335812964931
2012,103.05458089668616
2013,85.94642857142857
2014,108.6120218579235
2015,146.14986123959298
2016,135.17355371900825
2017,110.19461444308446
2018,90.33470507544581
2019,96.5284450063211
2020,91.05833333333334
2021,86.64444444444445
1944,-4.286266924564797
1945,-21.233576642335766
1946,-17.859310344827588
1947,-32.706921944035344
1948,-8.435428571428572
1949,13.510147601476016
1950,-10.333333333333334
1951,-30.845942228335627
1952,-19.211829436038514
1953,-11.192043895747599
1954,-8.012396694214877
1955,-20.776406035665296
1956,-19.830369357045143
1957,-15.251373626373626
1958,-13.668044077134986
1959,-76.39217557251908
1960,-112.6120218579235
1961,-126.86027397260274
1962,-113.41208791208791
1963,-104.67071057192375
1964,-33.038910505836576
1966,94.10855263157895
1967,83.98333333333333
1968,83.72549019607843
1969,101.44660194174757
1973,81.52380952380952
1974,76.5049504950495
1975,69.8671096345515
1976,66.50980392156863
1977,71.88172043010752
1978,84.18577075098814
1981,215.0290909090909
1982,215.40863787375415
1983,187.44890510948906
1984,189.644776119403
1985,170.01682242990654
1986,152.36470588235295
1987,140.6206896551724
1988,152.6448598130841
1989,153.22754491017963
1990,160.38888888888889
1991,194.81733333333332
1992,175.19875130072842
1993,178.7701030927835
1994,180.58553971486762
1995,171.04125736738703
1996,157.32515337423314
1997,161.73415132924336
1998,143.95298602287167
1999,175.73197969543148
2000,179.16145833333334
2001,187.58387395736793
2002,178.1270142180095
2003,159.05043050430504
2004,142.45467224546724
2005,141.81960227272728
2008,90.0939226519337
2009,86.66850828729282
2010,98.70704225352112
2011,101.37883008356546
1907,-81.51219512195122
1908,17.019543973941367
1909,5.935185185185185
1910,16.366477272727273
1911,15.090909090909092
1912,-5.801675977653631
1913,-5.482093663911845
1914,7.315934065934066
1915,-9.848888888888888
1916,8.617728531855956
1917,5.171919770773639
1918,-36.363157894736844
1919,10.648876404494382
1920,-18.948979591836736
1921,-0.48125
1922,-4.206489675516224
1923,2.8224852071005917
1924,-6.234285714285714
1925,12.479651162790697
1926,-1.553072625698324
1927,-61.72222222222222
1928,33.07194244604317
1929,4.198895027624309
1930,11.606060606060606
1931,12.837988826815643
1932,4.941988950276243
1933,6.573407202216067
1934,14.096685082872929
1935,10.606060606060606
1936,-5.697885196374623
1937,15.26388888888889
1938,9.083798882681565
1939,3.9917355371900825
1940,13.316901408450704
1941,16.771978021978022
1942,8.219178082191782
1943,8.575342465753424
